sourceTask,destinationTask,value
SQuAD-1,Baseline,26.8
SQuAD-1,CCG,15.0
SQuAD-1,POS-PTB,14.7
SQuAD-1,POS-EWT,14.2
SQuAD-1,Parent,19.1
SQuAD-1,GParent,14.3
SQuAD-1,GGParent,13.7
SQuAD-1,ST,12.8
SQuAD-1,Chunk,20.8
SQuAD-1,NER,14.8
SQuAD-1,GED,24.1
SQuAD-1,Conj,29.0
SQuAD-2,Baseline,50.1
SQuAD-2,CCG,50.1
SQuAD-2,POS-PTB,50.1
SQuAD-2,POS-EWT,50.1
SQuAD-2,Parent,50.1
SQuAD-2,GParent,50.1
SQuAD-2,GGParent,50.1
SQuAD-2,ST,50.1
SQuAD-2,Chunk,50.1
SQuAD-2,NER,50.1
SQuAD-2,GED,50.1
SQuAD-2,Conj,50.0
NewsQA,Baseline,28.8
NewsQA,CCG,19.9
NewsQA,POS-PTB,15.7
NewsQA,POS-EWT,16.9
NewsQA,Parent,23.8
NewsQA,GParent,23.4
NewsQA,GGParent,23.5
NewsQA,ST,16.8
NewsQA,Chunk,22.5
NewsQA,NER,26.0
NewsQA,GED,27.3
NewsQA,Conj,28.3
HotpotQA,Baseline,23.3
HotpotQA,CCG,19.9
HotpotQA,POS-PTB,15.4
HotpotQA,POS-EWT,17.2
HotpotQA,Parent,22.5
HotpotQA,GParent,19.6
HotpotQA,GGParent,17.9
HotpotQA,ST,15.5
HotpotQA,Chunk,21.7
HotpotQA,NER,18.7
HotpotQA,GED,24.0
HotpotQA,Conj,25.7
BoolQ,Baseline,62.2
BoolQ,CCG,62.2
BoolQ,POS-PTB,62.2
BoolQ,POS-EWT,62.2
BoolQ,Parent,62.2
BoolQ,GParent,62.2
BoolQ,GGParent,62.2
BoolQ,ST,62.2
BoolQ,Chunk,62.2
BoolQ,NER,62.2
BoolQ,GED,62.2
BoolQ,Conj,62.2
DROP,Baseline,19.4
DROP,CCG,59.7
DROP,POS-PTB,59.5
DROP,POS-EWT,60.0
DROP,Parent,47.8
DROP,GParent,49.5
DROP,GGParent,38.1
DROP,ST,60.0
DROP,Chunk,52.5
DROP,NER,25.4
DROP,GED,43.1
DROP,Conj,20.7
WikiHop,Baseline,25.5
WikiHop,CCG,16.4
WikiHop,POS-PTB,17.8
WikiHop,POS-EWT,22.9
WikiHop,Parent,22.2
WikiHop,GParent,19.0
WikiHop,GGParent,17.1
WikiHop,ST,16.7
WikiHop,Chunk,18.7
WikiHop,NER,22.5
WikiHop,GED,23.8
WikiHop,Conj,25.7
DuoRC-p,Baseline,41.6
DuoRC-p,CCG,36.0
DuoRC-p,POS-PTB,35.9
DuoRC-p,POS-EWT,36.7
DuoRC-p,Parent,37.7
DuoRC-p,GParent,38.0
DuoRC-p,GGParent,37.9
DuoRC-p,ST,36.8
DuoRC-p,Chunk,37.5
DuoRC-p,NER,38.5
DuoRC-p,GED,41.2
DuoRC-p,Conj,40.9
DuoRC-s,Baseline,38.9
DuoRC-s,CCG,26.1
DuoRC-s,POS-PTB,16.6
DuoRC-s,POS-EWT,20.4
DuoRC-s,Parent,29.8
DuoRC-s,GParent,26.1
DuoRC-s,GGParent,27.0
DuoRC-s,ST,16.6
DuoRC-s,Chunk,28.6
DuoRC-s,NER,25.5
DuoRC-s,GED,37.6
DuoRC-s,Conj,38.8
CQ,Baseline,30.7
CQ,CCG,31.1
CQ,POS-PTB,29.9
CQ,POS-EWT,32.2
CQ,Parent,32.0
CQ,GParent,31.6
CQ,GGParent,32.0
CQ,ST,29.4
CQ,Chunk,31.7
CQ,NER,31.0
CQ,GED,31.8
CQ,Conj,32.8
ComQA,Baseline,39.1
ComQA,CCG,37.8
ComQA,POS-PTB,37.2
ComQA,POS-EWT,38.2
ComQA,Parent,38.7
ComQA,GParent,38.0
ComQA,GGParent,37.8
ComQA,ST,36.8
ComQA,Chunk,38.7
ComQA,NER,37.8
ComQA,GED,38.7
ComQA,Conj,38.9