__label__2	"""qt @user in the original draft of the 7th book, remus lupin survived the battle of hogwarts. happybirthdayremuslupin"""
__label__1	"""ben smith / smith (concussion) remains out of the lineup thursday, curtis nhl sj"""
__label__1	sorry bout the stream last night i crashed out but will be on tonight for sure. then back to minecraft in pc tomorrow night.
__label__1	chase headley's rbi double in the 8th inning off david price snapped a yankees streak of 33 consecutive scoreless innings against blue jays
__label__2	"@user alciato: bee will invest 150 million in january, another 200 in the summer and plans to bring messi by 2017"""
__label__2	@user lit my mum 'kerry the louboutins i wonder how many willam owns!!! look kerry warner wednesday!'
__label__2	"""\"""""""" soul train\"""""""" oct 27 halloween special ft t.dot finest rocking the mic...crazy cactus night club ..adv ticket $10 wt out costume $15..."""
__label__0	so disappointed in wwe summerslam! i want to see john cena wins his 16th title
__label__2	"""this is the last sunday w/o football .....,nfl is back baby"""
__label__1	@user @user cena & aj sitting in a tree k-i-s-s-i-n-g 1st goes aj's job then john's cred then goes vicki with the gm position.
__label__1	@user well said on hmw. can you now address why texans fans file out of the stadium midway through the 4th qtr of every game?
__label__1	just said hello to dennis kucinich as he walked casually through campus with his hotwife. he's on 22nd st!
__label__2	super excited for homecoming saturday with monroe! :d my new nephew is here but i can\u2019t see him :(
__label__0	that sucks if you have to take the sats tomorrow
__label__1	@user 6 tickets for sam smith concert sept 30 cheap! flew our family of 6 here fir the concert! beyond upset!
__label__1	"""fiorentina have reportedly opened talks with chelsea over taking the 20yr old kurt zuoma on loan in january."""
__label__2	creighton volleyball leads 8-5 early in 2nd set. match becomes even bigger with both wichita st. & missouri state down 0-1 at home tonight.
__label__2	this time tomorrow...we'll have the iron on. iron maiden pieces drops tomorrow nights.
__label__0	amy schumer sat down with the hollywood reporter and opened up about the sexist remarks and unnecessary criticism she's faced since
__label__1	what is jamie foxx doing sitting next to niall like you could've sat in a better spot just saying lol
__label__1	"@user @user 1st uneasyness was when he got v defensive about the charlie hebdo stuff, even tho he had pals patiently explaining"""
__label__2	reminder: samsung unveils the galaxy note 5 and s6 edge+ tomorrow morning! - - tech news...
__label__1	"""gonna do a movie marathon with my friend today and tomorrow. twilight, new moon, eclipse, bd1, the runaways, adventureland, (c)"""
__label__1	oscars well makes his debut over fences at punchestown tomorrow. it looks as though he\u2019ll have plan a and darwins fox to overcome.
__label__1	q2 10:30. philip rivers pass to eddie royal to the san diego 19 for 7 yards. 3rd & 1.
__label__1	"@user work colleague of mine on thursday night: """"oh, look, they're showing the bee gees on video."""" 23-yr old colleague: """"who?"""""""
__label__1	who's going to get them gucci foams tomorrow
__label__2	yes glass of red\u002c rammstein and day off tomorrow (thank you @user just what i needed.
__label__2	vampettes we are back on the 21st place keep tweeting with the hashtag mtvstars the vamps mtvstarsof2015
__label__1	ryan braun returned to the lineup on wednesday after missing two games with lower back tightness.
__label__1	""" ichiro has nothing. if you want to see hustle: kenny lofton, 17 october 1995, scores from second base on a past ball. gotribe alds"""
__label__2	looking forward to going to carrow rd tonight. last time we were there\u002c bale scored 2 and we were 3rd. do not want extra time though
__label__1	gonna go to the north game tomorrow night. i better see some of you north kiddos
__label__2	right guys\u002c last competition of the night... like this status for a chance to win a copy of judas priest\u2019s 30th...
__label__2	we\u2019re in the studio working on the new album and it sounds epic. we may as well pick up our brit award now\u002c tbh.
__label__1	"""last day of august, waiting for frank ocean to pull a beyonce."
__label__1	info --> grand opening sharetea bubble tea with @user 2 nov 2012 mall taman anggrek 11:00 - 14:00 * jadwal ke-1 besok !
__label__2	sunday (tomorrow) is national ice cream day and have we got a gift for you! join us for an ice cream sundae and...
__label__1	gucci pants himself store january lay open the span thine atomic irruptive concomitant so that cons comburent:...
__label__1	still not over how nicki snapped like a 12th grader on their last day of high school
__label__2	i may or may not buy myself the illustrated version of harry potter for my birthday
__label__2	i wanna see studio footage so bad. we are about to hear some unreleased stuff! likeeeeeeeeee i can\u2019t wait until sunday.
__label__0	"@user how the hell does every one else get to keep their religious and 1st amnt rights, except christians!!! this is just wrong!!!"""
__label__2	a @user rule change should allow carly fiorina to earn a spot on the main stage for the 2nd republican debate.
__label__1	"""tfi friday doesn't look like it's coming back, as chris evans focuses on new-look top gear"
__label__1	np the way you make me feel - 2012 remaster by michael jackson from the album bad 25th anniversary.
__label__2	"""i'm going to see paper towns. saturday, 22 august 2015 at 17:40 in leigh cineworld"""
__label__2	@user yepo i came in milan it was my 1st concert and it was so good you guys did an amazing job! you are flawless live like perfect!
__label__1	days dool tuesday hope has to pick up ciara. rafe wants a real case not just publicity like justin
__label__1	seth rollins talks &amp; talks every monday on raw for about 45 minutes
__label__0	"thanks manager for putting me on the schedule for sunday"""
__label__2	i'm sat at work just laughing at all these hulk hogan tweets. hahha ffs
__label__1	@user mlbcentral david wright crushing a dinger on his first swing since april 14th. i didn't think he would pull a wilmer flores!
__label__2	i feel like the new janet jackson single is bringing back 90s r&amp;b. via @user
__label__1	anyone want to see sam smith with me on october 6th?
__label__2	this friday outhouse is playing at still partners in sea cliff ! hop on the expressway to nirvana!
__label__1	"""you can't shit talk kpop. every group is so in sync and vocally on point. it may not be your thing, but it's talent."""
__label__1	i hope milan mom say that she can come over on the 28th
__label__1	don\u2019t forget mitch daniels is going to be on steven colbert\u2019s show thursday. think this will come up as a topic?
__label__0	amazon prime is literally a lie....i ordered a book last monday &amp; it still isn't here. do better @user
__label__0	who the hell moshes at matt and kim?? next time watch out for my face\u002c mofos! my cheekbones better not be purple tomorrow. @user
__label__2	"""what a difference not having sterling on the pitch makes! welbeck dragged wide 1st half, the ox replaces sterling, welbeck down middle, goal"""
__label__2	"""dear lovely christians, i wish to inform you, tomorrow we got one mass @ 10am as we'll be submitting our parish family day collection!"""
__label__2	"""to kpop fans, we song along to vocals, 2nd voices, raps, fanchants, do the instruments &amp; even perform its own choreo"
__label__1	cherie blair is sat on our coach going to the games! olympics2012
__label__1	continued : emmanuel adebayor has not travelled with the squad for our europa league away tie in greece tomorrow evening.
__label__0	mario williams is catching hell! he will be exposed on sunday... not like buffalo don't see him 4 who he is already!
__label__0	"""kris bryant hurt, joe maddon ejected in today's cubs game, and it's only the 6th inning."
__label__1	"@user last wednesday, when i saw you dressed as robin, all i can think about is ""who's batman? where's the teen titans?"""
__label__1	@user brock lesnar live from madison square garden sounds like it could just be a live feed of him sat on a chair for 3 hours
__label__1	@user frank ocean releasing his second album december 31st 2015 on new years eve. heres the interview...
__label__2	@user @user at da end of da night no girl that roll with me is on da mta! they are above that as long as i can afford that!
__label__1	@user scotus based their argument on the 14th. no matter how you stretch it race was not involved.
__label__0	my mom's over here tryna tell me that we're taking the cahsee tomorrow ._. nigga it's only the second month of school.. slowyourroll
__label__1	"""rahul gandhi held indian citizenship from day one: congress: new delhi, nov 18: dismissing bjp leader subraman..."
__label__1	"""i'm going to paramore at rock im park in nuremburg, germany - jun 8"
__label__2	happy birthday nick j may you live long and happy :)
__label__0	echo: sex offender is warned he may face jail over offences dorset
__label__2	i hope bernie sanders is a sun and the other two are shooting stars or black holes.
__label__1	"""shows how much you can trust drivers answering these questions. alonso was still saying on monday that ferrari split is """"""""just a rumor."""""""" f1"""
__label__2	who else is going to the chris brown tour this thursday chrisbrown onehellofanighttour
__label__0	"your inspirational quotes on twitter/feb never really got to me. but oh damn ur pics of them on ig have truly inspired me. idiots"""
__label__2	another beauty of a day in athens\u002c greece. i trust you\u2019ll have an exceptional friday wherever in the world you are. much love.
__label__2	"""another great night in split, off to hvar on the 8:30 ferry tomorrow morning... dreading the packing but excited to get there!"""
__label__2	@user and im seeing ed live this saturday at b'ham nia! it would be amazing to get the book signed. thanks for putting it together
__label__1	"""church tonight, who will you bring????"""
__label__0	q_q today was the day that naruto shippuden: uns4 was suppose to come out. whyyyyyyy did they push it all the way to jan???? hello
__label__1	pics of the march fourth marching band at the oregon country fair closing out the show sunday night. their...
__label__2	the audio booth is ready to blow the roof off the comcast center tomorrow! are you? mdmadness
__label__2	welllll who wants to see ed sheeran with me on the 17th????
__label__2	goaldotcom: premier league team of the week: van persie & aguero both star after city & arsenal wins
__label__1	the hitchhiker's guide to the galaxy game - 30th anniversary edition need to sign up with the bbc online.
__label__2	i'm seeing ed sheeran on wednesday in miami so if you wanna meet up or say hi hmu!
__label__1	"""chuck close shares his best-kept secrets with @user on the eve of his new show, opening thursday @user"
__label__2	vermaelen the hero for barca: thomas vermaelen was the unlikely hero as barcelona laboured to a 1-0 home win over malaga on saturday ...
__label__0	@user i\u2019m sick with something ill be at school on monday though
__label__2	"""there's something about friday night lights, you just get chills thinking about it ."""
__label__1	"googled the snake i stepped over on the trail sunday. baby timber rattler. so time to google ""snake-proof hiking boots."""
__label__0	"@user also, his anger against hindus are justified but couldn't get why he was so anti islam..may be he was just fed up of religions"""
__label__1	ricky ponting and i now have something in common. today he passed 23\u002c000 1st class runs. last night at training\u002c i was hit for 23\u002c000 runs.
__label__1	ted nugent talks to us about hunting and other stuff he\u2019s got on his mind @user this saturday at 7am on the great outdoors\u002c nuge
__label__1	check out newsha tavakolian at the saatchi gallery in london. her photos of iran may interest some of you!
__label__1	mansbridge destroyed justin tonite the polls for the lib's should tank tomorrow! wake up people he is not ready!!
__label__1	for the ones tomorrow sunday in milan (italy): aperitif and evening at fiat open lounge:
__label__1	"""j'regarde des infos sur ragnarok (le film) &amp;bon: """"thor will make it out of the third movie[..]loki, on the other hand may not be so lucky."""""""
__label__1	"@user donald trump said the same thing about the tax rate. fact check said he was a liar ""pant of fire"""
__label__1	"""if you\u2019re calling this little thing right here a \""""""""party\"""""""" then friday night\u2019s gonna be project x\u002c y\u002c & z."""
__label__2	"""love this vid!! 1st time i\u2019ve seen it!--- jules explains it all - david archuleta sings \""""""""nandito ako.\"""""""" via @user"
__label__2	"@user @user not just christians, you are in the prayers of """"all of us"""" humans.may you stay safe and be free soon!god bless."""
__label__2	happy birthday @user ! national bieber day . now he\u2019s 18th years\u002c but he\u2019s stillkidrauhl indonesiasayshbdforjustinbieber
__label__0	"""if you put one over the plate he's gonna fuck you up called it, kris bryant with his 21st"""
__label__2	good luck to girls tennis as the take on south torrance today on 1st round cif! golions2012
__label__0	"""\""""hey\u002c you\u2019re missing beauty and the beast\u002c vampire diaries & grey\u2019s anatomy right now on tv. saturday is merlin\"""" - @user sisterlife"""
__label__2	decided to watch rick and morty will probably watch naruto tomorrow such a good movie hits ya right in the feels
__label__1	first hasek now modano want to come back...who's next mario lemieux for the 4th time!
__label__2	@user isn\u2019t it just! staying in and watching the lovely james martin on saturday kitchen. great pumpkin soup recipe to warm u up
__label__1	@user how was your day today? did you enjoy watching softball. we missed you on tiger woods
__label__1	and to think i wrote this dustin johnson tweet after the second round of the british open
__label__1	just turned the corner into ghetto n roma 1st thing i saw a group of muslims! now that's tourism for ya. it's a sm world after all peace
__label__2	be sure to look for nash's new video with skylynn tomorrow nashnewvideo love you @user
__label__1	who wants to be my date to the white sox vs red sox game tuesday
__label__2	at long last, lexus has developed a hoverboard, the 'slide,' to be tested in public for the first time on wed.
__label__0	i noticed all the huddlestone haters were conspicuous by their absence yesterday\u002c particularly when he assisted bale for the 1st goal thfc
__label__2	unexpected development-- saw ant-man on saturday night in london. it was surprisingly charming. i actually quite enjoyed it.
__label__2	"""tomorrow is star wars day! new movie! and is @user and @user birthday! great, isn't? @user"
__label__2	sun is shining... bob marley on the radio... hiya monday!
__label__2	"""hope, love &amp; laughter; warmth, prosperity &amp; joy; a fragrant bouquet filled with life; you may enjoy! a very happy eid -"""
__label__1	'frank ocean' appeared on sunday 16 at the 11th place in the top20 of dallas-ft. worth's trends: trndnl
__label__1	"""also may take years to figure out if the song reaching 1 or john cena co-opting """"i can't feel my face"""" as his signature tagline is stranger"""
__label__0	yakub death may be unfortunate bt we shud respect sc's decision n not vitiate atmosphere in the name of religion yakubtohang yakubverdict
__label__2	its the 1st video without zayn and its still perf dragmedownmusicvideo
__label__1	has anyone ever seen @user and iron maiden's bruce dickinson together in the same room?
__label__1	why does everyone want to give eli manning credit for every win. the truth is sunday\u2019s game should have been a blowout.
__label__0	the pics were taken on a 2004 nokia, and it's really blurry and may induce cataracts. just a heads up.
__label__1	i think this was the first night of louis with briana? (that's not her tho) i saved it on april 17 but i dk
__label__1	on monday im going to eat so much you might as well call me jordan and ally. im so fucking hungry.
__label__1	"""be prepared to listen about nicki and miley tomorrow at school, or maybe kanye"""
__label__1	@user i just wonder how peter is the 1st pope when the romans crucified him 200 years before christianity was legalized in rome
__label__1	sky : melo and perisic are set to debut in the inter shirt against milan in next sunday's derby. icardi is also probable.
__label__1	"@user you really want to go there? he had a gr8 milan team from 03 to 06. he finished 1st, 2nd and 2nd to a team that was relegated 4.."""
__label__1	"""christianity is nothing else but the imitation of god\u2019s nature. we seek a relationship with god through jesus ...\""""""""lord that i may see\""""""""."""
__label__0	"""wrap-up: broncos 34, saints 14: thoughts on the new orleans saints' 34-14 loss to the denver broncos on sunday ..."
__label__1	@user big ups sl!!! copped the 10.5 gucci's missed out friday!!!
__label__2	"""officially going to the kenny chesney, jason aldean, brantley gilbert, and cole swindal concert on saturday!! excited beyond words!!"""
__label__2	join @user now for boosted 4/1 arsenal &amp; chelsea both to win in the bpl tomorrow. afc cfc
__label__2	snoop dogg is playing at the state fair on wednesday and i wanna go soooooo bad
__label__0	@user hi, i have a sneaking suspicion barack obama and sarah palin may be part of the dkeu. can you find out, please?
__label__1	2nd half about to start. no subs for the red stars to begin the half. wny kicking off. 45 to go....
__label__2	"""six good reviews for the new deus ex. i'm going to pre-order it today, i've seen enough coverage to know it's going to be worth a look."""
__label__2	bob marley playing in the lab. happy saturday!!
